RegionID,SizeRank,RegionName,RegionType,StateName,date,zhvi,year,month,year_month
4,23,Alabama,state,,2015-02-28,135040.30268571328,2015,2,2015-02
25,24,Louisiana,state,,2015-02-28,173623.19159599717,2015,2,2015-02
24,25,Kentucky,state,,2015-02-28,118529.45125928197,2015,2,2015-02
46,26,Oregon,state,,2015-02-28,254616.64283285596,2015,2,2015-02
45,27,Oklahoma,state,,2015-02-28,122777.48424552876,2015,2,2015-02
11,28,Connecticut,state,,2015-02-28,239817.51467892004,2015,2,2015-02
55,30,Utah,state,,2015-02-28,234299.1212436224,2015,2,2015-02
19,31,Iowa,state,,2015-02-28,132613.3837130554,2015,2,2015-02
42,32,Nevada,state,,2015-02-28,204487.14536534905,2015,2,2015-02
6,33,Arkansas,state,,2015-02-28,126519.7505011574,2015,2,2015-02
34,34,Mississippi,state,,2015-02-28,124424.63484668249,2015,2,2015-02
23,35,Kansas,state,,2015-02-28,126532.62221670702,2015,2,2015-02
41,36,New Mexico,state,,2015-02-28,169729.03937618397,2015,2,2015-02
38,37,Nebraska,state,,2015-02-28,140880.3562159742,2015,2,2015-02
20,38,Idaho,state,,2015-02-28,185311.28018045577,2015,2,2015-02
61,39,West Virginia,state,,2015-02-28,106735.8057537044,2015,2,2015-02
18,40,Hawaii,state,,2015-02-28,498846.4140802293,2015,2,2015-02
39,41,New Hampshire,state,,2015-02-28,225564.1535053847,2015,2,2015-02
28,42,Maine,state,,2015-02-28,185065.3844283108,2015,2,2015-02
50,43,Rhode Island,state,,2015-02-28,233009.8874968794,2015,2,2015-02
35,44,Montana,state,,2015-02-28,210029.33528789607,2015,2,2015-02
13,45,Delaware,state,,2015-02-28,235322.4204689633,2015,2,2015-02
52,46,South Dakota,state,,2015-02-28,168076.6667690858,2015,2,2015-02
37,47,North Dakota,state,,2015-02-28,215491.111097566,2015,2,2015-02
3,48,Alaska,state,,2015-02-28,270599.81997329486,2015,2,2015-02
12,49,District of Columbia,state,,2015-02-28,475671.735412624,2015,2,2015-02
58,50,Vermont,state,,2015-02-28,228197.10926963732,2015,2,2015-02
62,51,Wyoming,state,,2015-02-28,218555.09628064337,2015,2,2015-02
9,0,California,state,,2015-03-31,413774.3135766859,2015,3,2015-03
54,1,Texas,state,,2015-03-31,166372.03290616747,2015,3,2015-03
14,2,Florida,state,,2015-03-31,178132.55653751755,2015,3,2015-03
43,3,New York,state,,2015-03-31,270387.46030747105,2015,3,2015-03
47,4,Pennsylvania,state,,2015-03-31,161378.49397590384,2015,3,2015-03
21,5,Illinois,state,,2015-03-31,163600.91161113066,2015,3,2015-03
44,6,Ohio,state,,2015-03-31,120078.7249250762,2015,3,2015-03
16,7,Georgia,state,,2015-03-31,154197.56697125433,2015,3,2015-03
36,8,North Carolina,state,,2015-03-31,162307.09183304882,2015,3,2015-03
30,9,Michigan,state,,2015-03-31,125308.60512367934,2015,3,2015-03
40,10,New Jersey,state,,2015-03-31,298130.70165896026,2015,3,2015-03
56,11,Virginia,state,,2015-03-31,240405.83787530832,2015,3,2015-03
59,12,Washington,state,,2015-03-31,273852.7336138944,2015,3,2015-03
8,13,Arizona,state,,2015-03-31,199314.05185473172,2015,3,2015-03
26,14,Massachusetts,state,,2015-03-31,342953.4058247966,2015,3,2015-03
53,15,Tennessee,state,,2015-03-31,151717.07628797242,2015,3,2015-03
22,16,Indiana,state,,2015-03-31,122198.43657298596,2015,3,2015-03
27,17,Maryland,state,,2015-03-31,275535.3742039607,2015,3,2015-03
32,18,Missouri,state,,2015-03-31,134146.58788565086,2015,3,2015-03
60,19,Wisconsin,state,,2015-03-31,161741.5554072707,2015,3,2015-03
10,20,Colorado,state,,2015-03-31,283232.38280008687,2015,3,2015-03
31,21,Minnesota,state,,2015-03-31,193467.30407401905,2015,3,2015-03
51,22,South Carolina,state,,2015-03-31,153505.20190807155,2015,3,2015-03
4,23,Alabama,state,,2015-03-31,135142.35913085451,2015,3,2015-03
25,24,Louisiana,state,,2015-03-31,174420.72159314112,2015,3,2015-03
24,25,Kentucky,state,,2015-03-31,118761.72539404704,2015,3,2015-03
46,26,Oregon,state,,2015-03-31,256654.1678044688,2015,3,2015-03
45,27,Oklahoma,state,,2015-03-31,123057.70998184982,2015,3,2015-03
11,28,Connecticut,state,,2015-03-31,240125.11109081225,2015,3,2015-03
55,30,Utah,state,,2015-03-31,235797.7962594983,2015,3,2015-03
19,31,Iowa,state,,2015-03-31,133357.1702609963,2015,3,2015-03
42,32,Nevada,state,,2015-03-31,205702.46736407455,2015,3,2015-03
6,33,Arkansas,state,,2015-03-31,126789.71464674675,2015,3,2015-03
34,34,Mississippi,state,,2015-03-31,125178.78359509184,2015,3,2015-03
23,35,Kansas,state,,2015-03-31,126934.60458707962,2015,3,2015-03
41,36,New Mexico,state,,2015-03-31,170120.52831449205,2015,3,2015-03
38,37,Nebraska,state,,2015-03-31,141421.1454649554,2015,3,2015-03
20,38,Idaho,state,,2015-03-31,186471.82117433703,2015,3,2015-03
61,39,West Virginia,state,,2015-03-31,107200.11401031724,2015,3,2015-03
18,40,Hawaii,state,,2015-03-31,501176.8349907897,2015,3,2015-03
39,41,New Hampshire,state,,2015-03-31,226387.09971304837,2015,3,2015-03
28,42,Maine,state,,2015-03-31,185350.31713326063,2015,3,2015-03
50,43,Rhode Island,state,,2015-03-31,233780.3826628663,2015,3,2015-03
35,44,Montana,state,,2015-03-31,211000.398255253,2015,3,2015-03
13,45,Delaware,state,,2015-03-31,236542.8950107724,2015,3,2015-03
52,46,South Dakota,state,,2015-03-31,168883.45076955578,2015,3,2015-03
37,47,North Dakota,state,,2015-03-31,216913.610964922,2015,3,2015-03
3,48,Alaska,state,,2015-03-31,270799.39786260383,2015,3,2015-03
12,49,District of Columbia,state,,2015-03-31,476226.4094875995,2015,3,2015-03
58,50,Vermont,state,,2015-03-31,228822.59469710785,2015,3,2015-03
62,51,Wyoming,state,,2015-03-31,220054.4804177697,2015,3,2015-03
9,0,California,state,,2015-04-30,415730.5886252113,2015,4,2015-04
54,1,Texas,state,,2015-04-30,167541.78770183423,2015,4,2015-04
14,2,Florida,state,,2015-04-30,179239.67107312803,2015,4,2015-04
43,3,New York,state,,2015-04-30,270838.2568362034,2015,4,2015-04
47,4,Pennsylvania,state,,2015-04-30,161807.95698736174,2015,4,2015-04
21,5,Illinois,state,,2015-04-30,164001.74479161215,2015,4,2015-04
44,6,Ohio,state,,2015-04-30,120620.50020755298,2015,4,2015-04
16,7,Georgia,state,,2015-04-30,155018.56500630884,2015,4,2015-04
36,8,North Carolina,state,,2015-04-30,162891.7050078092,2015,4,2015-04
30,9,Michigan,state,,2015-04-30,126273.6352306154,2015,4,2015-04
40,10,New Jersey,state,,2015-04-30,298614.54770727,2015,4,2015-04
56,11,Virginia,state,,2015-04-30,240797.1290216168,2015,4,2015-04
59,12,Washington,state,,2015-04-30,275951.3190963744,2015,4,2015-04
8,13,Arizona,state,,2015-04-30,200478.6621063282,2015,4,2015-04
26,14,Massachusetts,state,,2015-04-30,344455.7254365286,2015,4,2015-04
53,15,Tennessee,state,,2015-04-30,152517.30721640124,2015,4,2015-04
22,16,Indiana,state,,2015-04-30,122622.89216858851,2015,4,2015-04
27,17,Maryland,state,,2015-04-30,276392.0883004954,2015,4,2015-04
